WORD,WORDDEF
factotum,a servant employed to do a variety of jobs
factual,existing in act or fact
faculty,one of the inherent cognitive or perceptual powers of the mind
fain,in a willing manner
fall for,"fall in love with, become infatuated with"
fallacious,intended to deceive
fallacy,a misconception resulting from incorrect reasoning
fallible,"wanting in moral strength, courage, or will, having the attributes of man as opposed to e.g. divine beings"
fallow,undeveloped but potentially useful
falter,walk unsteadily
famine,an acute insufficiency
fanatic,marked by excessive enthusiasm for and intense devotion to a cause or idea
fanaticism,excessive intolerance of opposing views
fancied,formed or conceived by the imagination
fancier,a person having a strong liking for something
fanciful,"not based on fact, unreal"
fanfare,a gaudy outward display
fantastic,existing in fancy only
far-fetched,"Not readily believable because of improbable elements therein:  a far-fetched analogy, a far-fetched excuse."
farce,fill with a stuffing while cooking
farcical,"broadly or extravagantly humorous, resembling farce"
fascinate,"attract, cause to be enamored"
fastidious,"having complicated nutritional requirements, especially growing only in special artificial cultures"
fatalism,a philosophical doctrine holding that all events are predetermined in advance for all time and human beings are powerless to change them
fatalist,anyone who submits to the belief that they are powerless to change their destiny
fathom,measure the depth of (a body of water) with a sounding line
fatuity,a ludicrous folly
fatuous,devoid of intelligence
fatuousness,a ludicrous folly
fauna,all the animal life in a particular region or period
faux,"not genuine or real, being an imitation of the genuine article"
faux pas,a socially awkward or tactless act
fawn,a young deer
fawning,attempting to win favor by flattery
fealty,the loyalty that citizens owe to their country (or subjects to their sovereign)
fearless,invulnerable to fear or intimidation
feasible,capable of being done with means at hand and circumstances as they are
feat,a notable achievement
febrile,of or relating to or characterized by fever
fecund,capable of producing offspring or vegetation
fecundity,the intellectual productivity of a creative imagination
feeble,lacking bodily or muscular strength or vitality
feign,make a pretence of
feint,any distracting or deceptive maneuver (as a mock attack)
felicitous,exhibiting an agreeably appropriate manner or style
felicity,state of well-being characterized by emotions ranging from contentment to intense joy
fell,the dressed skin of an animal (especially a large animal)
felon,someone who has committed a crime or has been legally convicted of a crime
feminine,(music or poetry) ending on an unaccented beat or syllable
ferment,a substance capable of bringing about fermentation
ferret,search and discover through persistent investigation
ferrous,of or relating to or containing iron
ferry,travel by ferry
fertile,bearing in abundance especially offspring
fervent,characterized by intense emotion
fervid,extremely hot
fervor,the state of being emotionally aroused and worked up
fester,a sore that has become inflamed and formed pus
festive,offering fun and gaiety
fete,an elaborate party (often outdoors)
fetid,offensively malodorous
fetish,a charm superstitiously believed to embody magical powers
fetter,restrain with fetters
feud,carry out a feud
fiancee,alternative spelling of fiancée.
fiasco,a sudden and violent collapse
fiat,An arbitrary order or decree.
fickle,liable to sudden unpredictable change
fictitious,adopted in order to deceive
fidelity,accuracy with which an electronic system reproduces the sound or image of its input signal
fiduciary,relating to or of the nature of a legal trust (i.e. the holding of something in trust for another)
figment,a contrived or fantastic idea
figurative,"(used of the meanings of words or text) not literal, using figures of speech"
figurine,a small carved or molded figure
filch,make off with belongings of others
filial,designating the generation or the sequence of generations following the parental generation
filigree,"make filigree, as with a precious metal"
finale,"the temporal end, the concluding time"
